instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weather_impact,day_type,holiday_type,day_holiday_type
3419,2011-05-27,2,0,5,8,0,5,1,1,0.66,0.6212,0.74,0.2836,25,393,418,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3420,2011-05-27,2,0,5,9,0,5,1,1,0.7,0.6515,0.65,0.2836,37,190,227,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3421,2011-05-27,2,0,5,10,0,5,1,1,0.72,0.6667,0.54,0.3881,42,111,153,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3422,2011-05-27,2,0,5,11,0,5,1,2,0.74,0.6818,0.55,0.3284,40,126,166,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
3423,2011-05-27,2,0,5,12,0,5,1,2,0.76,0.697,0.55,0.2985,53,190,243,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
3424,2011-05-27,2,0,5,13,0,5,1,1,0.74,0.6818,0.58,0.194,51,158,209,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3425,2011-05-27,2,0,5,14,0,5,1,1,0.76,0.697,0.55,0.2537,51,188,239,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3426,2011-05-27,2,0,5,15,0,5,1,1,0.78,0.7121,0.49,0.2836,98,258,356,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3427,2011-05-27,2,0,5,16,0,5,1,2,0.76,0.697,0.55,0.3881,63,356,419,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
3428,2011-05-27,2,0,5,17,0,5,1,1,0.74,0.6818,0.58,0.3881,77,414,491,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3429,2011-05-27,2,0,5,18,0,5,1,2,0.72,0.6818,0.62,0.2985,89,310,399,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
3430,2011-05-27,2,0,5,19,0,5,1,3,0.6,0.5758,0.78,0.2537,69,210,279,Light Snow/Rain,Working Day,Non-Holiday,Working Day - Non-Holiday
3431,2011-05-27,2,0,5,20,0,5,1,2,0.62,0.5909,0.73,0.2239,24,120,144,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
3432,2011-05-27,2,0,5,21,0,5,1,1,0.6,0.5606,0.83,0.1045,37,114,151,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3433,2011-05-27,2,0,5,22,0,5,1,1,0.6,0.5758,0.78,0.1343,25,116,141,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3434,2011-05-27,2,0,5,23,0,5,1,1,0.58,0.5455,0.88,0.1343,23,104,127,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3435,2011-05-28,2,0,5,0,0,6,0,1,0.58,0.5455,0.88,0.1343,15,79,94,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3436,2011-05-28,2,0,5,1,0,6,0,1,0.58,0.5455,0.88,0.194,8,47,55,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3437,2011-05-28,2,0,5,2,0,6,0,1,0.56,0.5303,0.94,0.194,13,35,48,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3438,2011-05-28,2,0,5,3,0,6,0,1,0.56,0.5303,0.88,0.2239,2,13,15,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3439,2011-05-28,2,0,5,4,0,6,0,1,0.56,0.5303,0.88,0.2537,0,4,4,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3440,2011-05-28,2,0,5,5,0,6,0,1,0.56,0.5303,0.88,0.2239,4,3,7,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3441,2011-05-28,2,0,5,6,0,6,0,1,0.58,0.5455,0.83,0.2537,3,16,19,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3442,2011-05-28,2,0,5,7,0,6,0,1,0.6,0.5606,0.83,0.2537,17,33,50,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3443,2011-05-28,2,0,5,8,0,6,0,1,0.62,0.5909,0.78,0.194,27,75,102,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3444,2011-05-28,2,0,5,9,0,6,0,1,0.64,0.6061,0.73,0.2537,61,116,177,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3445,2011-05-28,2,0,5,10,0,6,0,1,0.7,0.6515,0.65,0.2239,110,166,276,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3446,2011-05-28,2,0,5,11,0,6,0,1,0.7,0.6515,0.65,0.2239,171,178,349,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3447,2011-05-28,2,0,5,12,0,6,0,1,0.72,0.6667,0.58,0.2537,145,213,358,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3448,2011-05-28,2,0,5,13,0,6,0,1,0.72,0.6818,0.62,0.2239,168,217,385,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3449,2011-05-28,2,0,5,14,0,6,0,1,0.74,0.6818,0.58,0.2239,172,210,382,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3450,2011-05-28,2,0,5,15,0,6,0,1,0.74,0.6818,0.55,0.2239,187,187,374,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3451,2011-05-28,2,0,5,16,0,6,0,1,0.76,0.697,0.55,0.2836,201,201,402,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3452,2011-05-28,2,0,5,17,0,6,0,1,0.74,0.6818,0.55,0.2985,180,161,341,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3453,2011-05-28,2,0,5,18,0,6,0,1,0.72,0.6818,0.62,0.2537,173,212,385,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3454,2011-05-28,2,0,5,19,0,6,0,1,0.7,0.6515,0.65,0.194,99,153,252,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3455,2011-05-28,2,0,5,20,0,6,0,1,0.7,0.6515,0.65,0.2239,68,128,196,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3456,2011-05-28,2,0,5,21,0,6,0,1,0.66,0.6212,0.74,0.2985,87,114,201,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3457,2011-05-28,2,0,5,22,0,6,0,1,0.66,0.6061,0.78,0.2239,46,115,161,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3458,2011-05-28,2,0,5,23,0,6,0,1,0.64,0.5758,0.83,0.194,44,81,125,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3459,2011-05-29,2,0,5,0,0,0,0,1,0.64,0.5758,0.83,0.2239,32,51,83,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3460,2011-05-29,2,0,5,1,0,0,0,1,0.62,0.5606,0.88,0.1642,17,49,66,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3461,2011-05-29,2,0,5,2,0,0,0,1,0.62,0.5606,0.88,0.1045,12,49,61,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3462,2011-05-29,2,0,5,3,0,0,0,1,0.62,0.5606,0.88,0.1045,2,24,26,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3463,2011-05-29,2,0,5,4,0,0,0,1,0.6,0.5455,0.88,0.0896,13,10,23,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3464,2011-05-29,2,0,5,5,0,0,0,1,0.6,0.5152,0.94,0.1642,3,3,6,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3465,2011-05-29,2,0,5,6,0,0,0,2,0.62,0.5606,0.88,0.194,5,10,15,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3466,2011-05-29,2,0,5,7,0,0,0,2,0.62,0.5606,0.88,0.2537,13,17,30,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3467,2011-05-29,2,0,5,8,0,0,0,2,0.62,0.5606,0.88,0.2239,34,62,96,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3468,2011-05-29,2,0,5,9,0,0,0,2,0.62,0.5455,0.94,0.2537,74,78,152,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3469,2011-05-29,2,0,5,10,0,0,0,2,0.66,0.6061,0.83,0.2239,130,121,251,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3470,2011-05-29,2,0,5,11,0,0,0,2,0.66,0.6061,0.83,0.2836,139,180,319,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3471,2011-05-29,2,0,5,12,0,0,0,2,0.7,0.6667,0.74,0.2239,216,186,402,Mist/Cloudy,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3472,2011-05-29,2,0,5,13,0,0,0,1,0.72,0.6818,0.7,0.2836,237,181,418,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3473,2011-05-29,2,0,5,14,0,0,0,1,0.74,0.697,0.7,0.2836,183,168,351,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3474,2011-05-29,2,0,5,15,0,0,0,1,0.74,0.697,0.7,0.2985,221,155,376,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3475,2011-05-29,2,0,5,16,0,0,0,1,0.74,0.697,0.7,0.2836,194,167,361,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3476,2011-05-29,2,0,5,17,0,0,0,1,0.74,0.697,0.7,0.2836,214,169,383,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3477,2011-05-29,2,0,5,18,0,0,0,1,0.72,0.697,0.74,0.2836,151,177,328,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3478,2011-05-29,2,0,5,19,0,0,0,1,0.72,0.697,0.74,0.2537,141,146,287,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3479,2011-05-29,2,0,5,20,0,0,0,1,0.7,0.6667,0.79,0.194,91,128,219,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3480,2011-05-29,2,0,5,21,0,0,0,1,0.68,0.6364,0.83,0.1642,107,122,229,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3481,2011-05-29,2,0,5,22,0,0,0,1,0.66,0.5909,0.89,0.1343,78,93,171,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3482,2011-05-29,2,0,5,23,0,0,0,1,0.66,0.5909,0.89,0.1642,48,87,135,Clear/Few clouds,Non-Working Day,Non-Holiday,Non-Working Day - Non-Holiday
3483,2011-05-30,2,0,5,0,1,1,0,1,0.64,0.5606,0.94,0.194,38,65,103,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3484,2011-05-30,2,0,5,1,1,1,0,1,0.64,0.5606,0.94,0.1343,26,53,79,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3485,2011-05-30,2,0,5,2,1,1,0,1,0.64,0.5606,0.94,0.194,17,28,45,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3486,2011-05-30,2,0,5,3,1,1,0,1,0.64,0.5606,0.94,0.194,10,8,18,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3487,2011-05-30,2,0,5,4,1,1,0,1,0.62,0.5455,0.94,0.1642,2,4,6,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3488,2011-05-30,2,0,5,5,1,1,0,2,0.62,0.5455,0.94,0.1045,1,6,7,Mist/Cloudy,Non-Working Day,Holiday,Non-Working Day - Holiday
3489,2011-05-30,2,0,5,6,1,1,0,2,0.64,0.5606,0.94,0.0896,6,10,16,Mist/Cloudy,Non-Working Day,Holiday,Non-Working Day - Holiday
3490,2011-05-30,2,0,5,7,1,1,0,2,0.64,0.5606,0.94,0.0,12,19,31,Mist/Cloudy,Non-Working Day,Holiday,Non-Working Day - Holiday
3491,2011-05-30,2,0,5,8,1,1,0,2,0.66,0.5909,0.89,0.1045,36,58,94,Mist/Cloudy,Non-Working Day,Holiday,Non-Working Day - Holiday
3492,2011-05-30,2,0,5,9,1,1,0,1,0.72,0.697,0.74,0.0896,47,81,128,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3493,2011-05-30,2,0,5,10,1,1,0,1,0.8,0.7576,0.55,0.2537,116,153,269,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3494,2011-05-30,2,0,5,11,1,1,0,1,0.82,0.7727,0.52,0.0,153,168,321,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3495,2011-05-30,2,0,5,12,1,1,0,1,0.86,0.803,0.47,0.1045,179,187,366,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3496,2011-05-30,2,0,5,13,1,1,0,1,0.86,0.7879,0.44,0.0896,133,217,350,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3497,2011-05-30,2,0,5,14,1,1,0,1,0.88,0.803,0.39,0.0,142,185,327,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3498,2011-05-30,2,0,5,15,1,1,0,1,0.88,0.803,0.39,0.2537,132,179,311,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3499,2011-05-30,2,0,5,16,1,1,0,1,0.88,0.7879,0.37,0.2836,101,208,309,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3500,2011-05-30,2,0,5,17,1,1,0,1,0.86,0.7879,0.41,0.2239,102,202,304,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3501,2011-05-30,2,0,5,18,1,1,0,1,0.86,0.7879,0.41,0.1642,77,172,249,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3502,2011-05-30,2,0,5,19,1,1,0,2,0.52,0.5,0.48,0.1045,68,157,225,Mist/Cloudy,Non-Working Day,Holiday,Non-Working Day - Holiday
3503,2011-05-30,2,0,5,20,1,1,0,1,0.76,0.7121,0.58,0.0,69,168,237,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3504,2011-05-30,2,0,5,21,1,1,0,1,0.74,0.697,0.7,0.1343,42,107,149,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3505,2011-05-30,2,0,5,22,1,1,0,1,0.72,0.697,0.74,0.1642,26,80,106,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3506,2011-05-30,2,0,5,23,1,1,0,1,0.7,0.6667,0.84,0.1045,14,34,48,Clear/Few clouds,Non-Working Day,Holiday,Non-Working Day - Holiday
3507,2011-05-31,2,0,5,0,0,2,1,1,0.7,0.6667,0.79,0.0896,9,20,29,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3508,2011-05-31,2,0,5,1,0,2,1,1,0.68,0.6364,0.89,0.0896,8,9,17,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3509,2011-05-31,2,0,5,2,0,2,1,2,0.66,0.5909,0.94,0.1343,5,7,12,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
3510,2011-05-31,2,0,5,3,0,2,1,2,0.64,0.5606,0.94,0.0,1,3,4,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
3511,2011-05-31,2,0,5,4,0,2,1,1,0.66,0.6061,0.83,0.0896,0,3,3,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3512,2011-05-31,2,0,5,5,0,2,1,1,0.66,0.6061,0.83,0.0896,0,26,26,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3513,2011-05-31,2,0,5,6,0,2,1,1,0.68,0.6364,0.79,0.0896,11,98,109,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3514,2011-05-31,2,0,5,7,0,2,1,1,0.74,0.697,0.66,0.1045,16,219,235,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3515,2011-05-31,2,0,5,8,0,2,1,1,0.78,0.7424,0.59,0.1343,34,372,406,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3516,2011-05-31,2,0,5,9,0,2,1,1,0.8,0.7576,0.55,0.1343,22,153,175,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3517,2011-05-31,2,0,5,10,0,2,1,1,0.82,0.7879,0.56,0.1343,37,72,109,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3518,2011-05-31,2,0,5,11,0,2,1,1,0.86,0.803,0.47,0.0,28,78,106,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3519,2011-05-31,2,0,5,12,0,2,1,1,0.86,0.803,0.47,0.1343,37,125,162,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3520,2011-05-31,2,0,5,13,0,2,1,1,0.9,0.8333,0.39,0.1642,37,110,147,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3521,2011-05-31,2,0,5,14,0,2,1,1,0.9,0.8182,0.37,0.0,41,99,140,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3522,2011-05-31,2,0,5,15,0,2,1,1,0.9,0.8182,0.37,0.1642,42,133,175,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3523,2011-05-31,2,0,5,16,0,2,1,1,0.9,0.8333,0.39,0.1343,44,205,249,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3524,2011-05-31,2,0,5,17,0,2,1,1,0.84,0.803,0.53,0.2239,67,428,495,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3525,2011-05-31,2,0,5,18,0,2,1,1,0.84,0.803,0.53,0.194,55,362,417,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3526,2011-05-31,2,0,5,19,0,2,1,1,0.78,0.7424,0.62,0.1045,39,246,285,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3527,2011-05-31,2,0,5,20,0,2,1,1,0.78,0.7424,0.62,0.1045,38,213,251,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3528,2011-05-31,2,0,5,21,0,2,1,1,0.76,0.7273,0.66,0.1045,45,165,210,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3529,2011-05-31,2,0,5,22,0,2,1,1,0.74,0.697,0.7,0.1642,42,117,159,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3530,2011-05-31,2,0,5,23,0,2,1,1,0.72,0.697,0.79,0.0896,15,46,61,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3531,2011-06-01,2,0,6,0,0,3,1,1,0.7,0.6667,0.79,0.1642,9,25,34,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3532,2011-06-01,2,0,6,1,0,3,1,1,0.7,0.6667,0.84,0.2537,8,9,17,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3533,2011-06-01,2,0,6,2,0,3,1,1,0.7,0.6667,0.79,0.1642,0,3,3,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3534,2011-06-01,2,0,6,3,0,3,1,1,0.68,0.6364,0.89,0.194,0,6,6,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3535,2011-06-01,2,0,6,4,0,3,1,2,0.68,0.6364,0.89,0.2239,0,4,4,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
3536,2011-06-01,2,0,6,5,0,3,1,2,0.66,0.5909,0.89,0.0896,2,19,21,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
3537,2011-06-01,2,0,6,6,0,3,1,2,0.68,0.6364,0.89,0.0896,7,121,128,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
3538,2011-06-01,2,0,6,7,0,3,1,2,0.7,0.6667,0.79,0.1642,19,265,284,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
3539,2011-06-01,2,0,6,8,0,3,1,2,0.72,0.697,0.79,0.194,37,417,454,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
3540,2011-06-01,2,0,6,9,0,3,1,2,0.74,0.7121,0.74,0.2239,34,173,207,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
3541,2011-06-01,2,0,6,10,0,3,1,2,0.76,0.7424,0.75,0.2537,31,84,115,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
3542,2011-06-01,2,0,6,11,0,3,1,2,0.82,0.803,0.59,0.2239,26,86,112,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
3543,2011-06-01,2,0,6,12,0,3,1,1,0.86,0.8333,0.53,0.0,32,137,169,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3544,2011-06-01,2,0,6,13,0,3,1,1,0.9,0.8182,0.37,0.194,29,125,154,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3545,2011-06-01,2,0,6,14,0,3,1,1,0.9,0.8182,0.37,0.2537,40,105,145,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3546,2011-06-01,2,0,6,15,0,3,1,1,0.9,0.8333,0.39,0.2985,25,127,152,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3547,2011-06-01,2,0,6,16,0,3,1,1,0.86,0.803,0.47,0.2985,39,227,266,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3548,2011-06-01,2,0,6,17,0,3,1,1,0.86,0.803,0.47,0.2985,52,434,486,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3549,2011-06-01,2,0,6,18,0,3,1,3,0.82,0.7879,0.56,0.3881,31,278,309,Light Snow/Rain,Working Day,Non-Holiday,Working Day - Non-Holiday
3550,2011-06-01,2,0,6,19,0,3,1,2,0.74,0.7121,0.79,0.1642,16,248,264,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
3551,2011-06-01,2,0,6,20,0,3,1,2,0.74,0.7121,0.79,0.2537,23,233,256,Mist/Cloudy,Working Day,Non-Holiday,Working Day - Non-Holiday
3552,2011-06-01,2,0,6,21,0,3,1,1,0.74,0.697,0.7,0.2836,29,161,190,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3553,2011-06-01,2,0,6,22,0,3,1,1,0.74,0.697,0.66,0.1343,14,115,129,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3554,2011-06-01,2,0,6,23,0,3,1,1,0.74,0.6667,0.51,0.1642,10,59,69,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3555,2011-06-02,2,0,6,0,0,4,1,1,0.74,0.6515,0.4,0.3582,11,31,42,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3556,2011-06-02,2,0,6,1,0,4,1,1,0.72,0.6515,0.38,0.1045,3,12,15,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3557,2011-06-02,2,0,6,2,0,4,1,1,0.7,0.6364,0.39,0.0,0,6,6,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3558,2011-06-02,2,0,6,3,0,4,1,1,0.66,0.6212,0.44,0.1045,0,4,4,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3559,2011-06-02,2,0,6,4,0,4,1,1,0.66,0.6212,0.41,0.194,0,3,3,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3560,2011-06-02,2,0,6,5,0,4,1,1,0.66,0.6212,0.39,0.2239,3,28,31,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3561,2011-06-02,2,0,6,6,0,4,1,1,0.66,0.6212,0.39,0.1343,7,106,113,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3562,2011-06-02,2,0,6,7,0,4,1,1,0.7,0.6364,0.34,0.2537,19,285,304,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3563,2011-06-02,2,0,6,8,0,4,1,1,0.7,0.6364,0.32,0.2985,25,442,467,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3564,2011-06-02,2,0,6,9,0,4,1,1,0.72,0.6364,0.26,0.3582,28,197,225,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3565,2011-06-02,2,0,6,10,0,4,1,1,0.72,0.6515,0.28,0.4925,33,106,139,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3566,2011-06-02,2,0,6,11,0,4,1,1,0.74,0.6515,0.28,0.3881,42,123,165,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3567,2011-06-02,2,0,6,12,0,4,1,1,0.76,0.6667,0.25,0.4627,39,193,232,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3568,2011-06-02,2,0,6,13,0,4,1,1,0.8,0.6818,0.24,0.3582,35,168,203,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3569,2011-06-02,2,0,6,14,0,4,1,1,0.78,0.6667,0.24,0.3284,43,142,185,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3570,2011-06-02,2,0,6,15,0,4,1,1,0.8,0.6818,0.21,0.3881,44,144,188,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3571,2011-06-02,2,0,6,16,0,4,1,1,0.8,0.6818,0.22,0.4925,63,255,318,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3572,2011-06-02,2,0,6,17,0,4,1,1,0.76,0.6515,0.2,0.5224,88,484,572,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3573,2011-06-02,2,0,6,18,0,4,1,1,0.74,0.6515,0.22,0.3881,74,451,525,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3574,2011-06-02,2,0,6,19,0,4,1,1,0.72,0.6364,0.23,0.2985,58,321,379,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3575,2011-06-02,2,0,6,20,0,4,1,1,0.7,0.6364,0.24,0.194,51,286,337,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3576,2011-06-02,2,0,6,21,0,4,1,1,0.66,0.6212,0.31,0.194,33,215,248,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
3577,2011-06-02,2,0,6,22,0,4,1,1,0.64,0.6212,0.33,0.2537,14,141,155,Clear/Few clouds,Working Day,Non-Holiday,Working Day - Non-Holiday
